"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,250.869547855747,251.454595908163,250.190949806526,41016,"PR","16ª RS APUCARANA","Região Sul"
"2",2025-03-01,252.057473654354,253.234481277024,250.695695204631,41016,"PR","16ª RS APUCARANA","Região Sul"
"3",2025-04-01,253.372677217097,255.149471066136,251.322127017726,41016,"PR","16ª RS APUCARANA","Região Sul"
"4",2025-05-01,254.645454858462,257.02919236512,251.901366795574,41016,"PR","16ª RS APUCARANA","Região Sul"
"5",2025-06-01,255.960658421205,258.95921626936,252.517489207,41016,"PR","16ª RS APUCARANA","Região Sul"
"6",2025-07-01,257.23343606257,260.853821200479,253.086693277293,41016,"PR","16ª RS APUCARANA","Região Sul"
"7",2025-08-01,258.548639625313,262.798977869793,253.692599398553,41016,"PR","16ª RS APUCARANA","Região Sul"
"8",2025-09-01,259.863843188056,264.751788384297,254.293375767987,41016,"PR","16ª RS APUCARANA","Região Sul"
"9",2025-10-01,261.136620829421,266.668953124455,254.847641530329,41016,"PR","16ª RS APUCARANA","Região Sul"
"10",2025-11-01,262.451824392164,268.637045727605,255.438340260352,41016,"PR","16ª RS APUCARANA","Região Sul"
"11",2025-12-01,263.724602033529,270.569340478078,255.982798143897,41016,"PR","16ª RS APUCARANA","Região Sul"
"12",2026-01-01,265.039805596272,272.552815311004,256.563510590597,41016,"PR","16ª RS APUCARANA","Região Sul"
"13",2026-02-01,266.355009159016,274.544069872397,257.139208391816,41016,"PR","16ª RS APUCARANA","Região Sul"
"14",2026-03-01,267.542934957623,276.411632805538,257.587372806795,41016,"PR","16ª RS APUCARANA","Região Sul"
"15",2026-04-01,268.858138520366,278.418216734939,258.153441343152,41016,"PR","16ª RS APUCARANA","Região Sul"
"16",2026-05-01,270.130916161731,280.388619439125,258.673936192789,41016,"PR","16ª RS APUCARANA","Região Sul"
"17",2026-06-01,271.446119724474,282.410837876456,259.230242919385,41016,"PR","16ª RS APUCARANA","Região Sul"
"18",2026-07-01,272.718897365839,284.396720746183,259.74124031093,41016,"PR","16ª RS APUCARANA","Região Sul"
"19",2026-08-01,274.034100928582,286.43467595135,260.287874184294,41016,"PR","16ª RS APUCARANA","Região Sul"
"20",2026-09-01,275.349304491325,288.48058978864,260.829650275864,41016,"PR","16ª RS APUCARANA","Região Sul"
"21",2026-10-01,276.62208213269,290.48993544105,261.326510848497,41016,"PR","16ª RS APUCARANA","Região Sul"
"22",2026-11-01,277.937285695433,292.551740830053,261.858746549553,41016,"PR","16ª RS APUCARANA","Região Sul"
"23",2026-12-01,279.210063336798,294.576822055989,262.346327283565,41016,"PR","16ª RS APUCARANA","Região Sul"
"24",2027-01-01,280.525266899541,296.654622799598,262.869109867195,41016,"PR","16ª RS APUCARANA","Região Sul"
"25",2027-02-01,281.840470462285,298.740512655853,263.387144642476,41016,"PR","16ª RS APUCARANA","Região Sul"
"26",2027-03-01,283.028396260892,300.699293693239,263.78183087886,41016,"PR","16ª RS APUCARANA","Região Sul"
"27",2027-04-01,284.343599823635,302.801125785725,264.290756407066,41016,"PR","16ª RS APUCARANA","Região Sul"
"28",2027-05-01,285.616377465,304.865840511336,264.755671351499,41016,"PR","16ª RS APUCARANA","Região Sul"
"29",2027-06-01,286.931581027743,306.983929462424,265.255358180979,41016,"PR","16ª RS APUCARANA","Região Sul"
"30",2027-07-01,288.204358669108,309.064742746972,265.711289753542,41016,"PR","16ª RS APUCARANA","Região Sul"
"31",2027-08-01,289.519562231851,311.199194551925,266.201822856378,41016,"PR","16ª RS APUCARANA","Região Sul"
"32",2027-09-01,290.834765794594,313.34192090521,266.687757998291,41016,"PR","16ª RS APUCARANA","Região Sul"
"33",2027-10-01,292.107543435959,315.447133011138,267.130318254668,41016,"PR","16ª RS APUCARANA","Região Sul"
"34",2027-11-01,293.422746998702,317.606382652043,267.607226198606,41016,"PR","16ª RS APUCARANA","Região Sul"
"35",2027-12-01,294.695524640067,319.727958068654,268.041010913287,41016,"PR","16ª RS APUCARANA","Região Sul"
"36",2028-01-01,296.01072820281,321.90383858897,268.508975017061,41016,"PR","16ª RS APUCARANA","Região Sul"
"37",2028-02-01,297.325931765554,324.088128894869,268.97244621104,41016,"PR","16ª RS APUCARANA","Região Sul"
"38",2028-03-01,298.556283485539,326.188151358889,269.35489278013,41016,"PR","16ª RS APUCARANA","Região Sul"
"39",2028-04-01,299.871487048283,328.38912729494,269.809647795246,41016,"PR","16ª RS APUCARANA","Região Sul"
"40",2028-05-01,301.144264689648,330.552025974392,270.22190224242,41016,"PR","16ª RS APUCARANA","Região Sul"
"41",2028-06-01,302.459468252391,332.769904344793,270.667918754126,41016,"PR","16ª RS APUCARANA","Região Sul"
"42",2028-07-01,303.732245893755,334.949543102501,271.07168130529,41016,"PR","16ª RS APUCARANA","Região Sul"
"43",2028-08-01,305.047449456499,337.184433769829,271.509040462071,41016,"PR","16ª RS APUCARANA","Região Sul"
"44",2028-09-01,306.362653019242,339.427926671476,271.9420501056,41016,"PR","16ª RS APUCARANA","Região Sul"
"45",2028-10-01,307.635430660607,341.632935266672,272.333173170145,41016,"PR","16ª RS APUCARANA","Região Sul"
