"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,178.766318176985,179.183215672839,178.282758192052,31025,"MG","VESPASIANO","Região Sudeste"
"2",2025-03-01,178.387512902187,179.220511263359,177.423747506749,31025,"MG","VESPASIANO","Região Sudeste"
"3",2025-04-01,177.968121347947,179.216135406957,176.527821743744,31025,"MG","VESPASIANO","Região Sudeste"
"4",2025-05-01,177.562258553521,179.224419834649,175.648827683974,31025,"MG","VESPASIANO","Região Sudeste"
"5",2025-06-01,177.142866999281,179.218080969123,174.759950538876,31025,"MG","VESPASIANO","Região Sudeste"
"6",2025-07-01,176.737004204856,179.224456975911,173.887907647674,31025,"MG","VESPASIANO","Região Sudeste"
"7",2025-08-01,176.317612650616,179.21613686374,173.006029108894,31025,"MG","VESPASIANO","Região Sudeste"
"8",2025-09-01,175.898221096376,179.206803214947,172.127649177463,31025,"MG","VESPASIANO","Região Sudeste"
"9",2025-10-01,175.49235830195,179.210266722001,171.265958324021,31025,"MG","VESPASIANO","Região Sudeste"
"10",2025-11-01,175.07296674771,179.198924156064,170.394502511319,31025,"MG","VESPASIANO","Região Sudeste"
"11",2025-12-01,174.667103953284,179.200433920258,169.539639718436,31025,"MG","VESPASIANO","Região Sudeste"
"12",2026-01-01,174.247712399044,179.187063879017,168.675058845984,31025,"MG","VESPASIANO","Região Sudeste"
"13",2026-02-01,173.828320844804,179.172656878122,167.813914817072,31025,"MG","VESPASIANO","Região Sudeste"
"14",2026-03-01,173.449515570006,179.199139815181,166.995271384632,31025,"MG","VESPASIANO","Região Sudeste"
"15",2026-04-01,173.030124015766,179.182742374919,166.140858582634,31025,"MG","VESPASIANO","Região Sudeste"
"16",2026-05-01,172.624261221341,179.179336350275,165.302801200888,31025,"MG","VESPASIANO","Região Sudeste"
"17",2026-06-01,172.204869667101,179.160864699246,164.455142114447,31025,"MG","VESPASIANO","Região Sudeste"
"18",2026-07-01,171.799006872675,179.15544046989,163.623744303405,31025,"MG","VESPASIANO","Região Sudeste"
"19",2026-08-01,171.379615318435,179.134875594174,162.782790895732,31025,"MG","VESPASIANO","Região Sudeste"
"20",2026-09-01,170.960223764195,179.113240445634,161.945189794017,31025,"MG","VESPASIANO","Região Sudeste"
"21",2026-10-01,170.554360969769,179.104737139287,161.123709714705,31025,"MG","VESPASIANO","Região Sudeste"
"22",2026-11-01,170.134969415529,179.080979919775,160.29274274563,31025,"MG","VESPASIANO","Região Sudeste"
"23",2026-12-01,169.729106621103,179.070411149673,159.477803998258,31025,"MG","VESPASIANO","Região Sudeste"
"24",2027-01-01,169.309715066863,179.044512512501,158.653423926454,31025,"MG","VESPASIANO","Região Sudeste"
"25",2027-02-01,168.890323512623,179.017519187421,157.832336834984,31025,"MG","VESPASIANO","Região Sudeste"
"26",2027-03-01,168.511518237826,179.032546496081,157.052357262331,31025,"MG","VESPASIANO","Região Sudeste"
"27",2027-04-01,168.092126683586,179.003449443126,156.237718502657,31025,"MG","VESPASIANO","Região Sudeste"
"28",2027-05-01,167.68626388916,178.987683537296,155.438878422998,31025,"MG","VESPASIANO","Região Sudeste"
"29",2027-06-01,167.26687233492,178.956396344878,154.630710129887,31025,"MG","VESPASIANO","Região Sudeste"
"30",2027-07-01,166.861009540494,178.938497759995,153.838249564735,31025,"MG","VESPASIANO","Região Sudeste"
"31",2027-08-01,166.441617986254,178.905000608429,153.036505601042,31025,"MG","VESPASIANO","Região Sudeste"
"32",2027-09-01,166.022226432014,178.87037404568,152.237973421337,31025,"MG","VESPASIANO","Região Sudeste"
"33",2027-10-01,165.616363637588,178.849222703011,151.455013473108,31025,"MG","VESPASIANO","Região Sudeste"
"34",2027-11-01,165.196972083348,178.812356114623,150.662836906196,31025,"MG","VESPASIANO","Região Sudeste"
"35",2027-12-01,164.791109288922,178.789022823362,149.886142917418,31025,"MG","VESPASIANO","Região Sudeste"
"36",2028-01-01,164.371717734682,178.749896044324,149.10027659705,31025,"MG","VESPASIANO","Região Sudeste"
"37",2028-02-01,163.952326180442,178.709614409545,148.317565080453,31025,"MG","VESPASIANO","Região Sudeste"
"38",2028-03-01,163.559992145831,178.697734482306,147.562408110205,31025,"MG","VESPASIANO","Região Sudeste"
"39",2028-04-01,163.140600591591,178.655196537638,146.785906256018,31025,"MG","VESPASIANO","Região Sudeste"
"40",2028-05-01,162.734737797165,178.626338212688,146.024665134468,31025,"MG","VESPASIANO","Região Sudeste"
"41",2028-06-01,162.315346242925,178.581489133208,145.254361529086,31025,"MG","VESPASIANO","Região Sudeste"
"42",2028-07-01,161.909483448499,178.55037862528,144.499230789634,31025,"MG","VESPASIANO","Região Sudeste"
"43",2028-08-01,161.490091894259,178.503197754383,143.73508112414,31025,"MG","VESPASIANO","Região Sudeste"
"44",2028-09-01,161.070700340019,178.454825760049,142.974008191718,31025,"MG","VESPASIANO","Região Sudeste"
"45",2028-10-01,160.664837545593,178.42028119771,142.227977225187,31025,"MG","VESPASIANO","Região Sudeste"
"46",2028-11-01,160.245445991353,178.369546078127,141.472992239162,31025,"MG","VESPASIANO","Região Sudeste"
"47",2028-12-01,159.839583196927,178.332697974883,140.732962607129,31025,"MG","VESPASIANO","Região Sudeste"
"48",2029-01-01,159.420191642687,178.279578715109,139.984022000086,31025,"MG","VESPASIANO","Região Sudeste"
"49",2029-02-01,159.000800088447,178.225241818173,139.23810340315,31025,"MG","VESPASIANO","Região Sudeste"
"50",2029-03-01,158.62199481365,178.215281466602,138.53064149401,31025,"MG","VESPASIANO","Região Sudeste"
"51",2029-04-01,158.20260325941,178.158599447623,137.790638467273,31025,"MG","VESPASIANO","Região Sudeste"
"52",2029-05-01,157.796740464984,178.115954647665,137.065376561807,31025,"MG","VESPASIANO","Região Sudeste"
"53",2029-06-01,157.377348910744,178.056835564261,136.331310532513,31025,"MG","VESPASIANO","Região Sudeste"
"54",2029-07-01,156.971486116318,178.011814181909,135.611900738345,31025,"MG","VESPASIANO","Região Sudeste"
"55",2029-08-01,156.552094562078,177.950236509808,134.883729155124,31025,"MG","VESPASIANO","Região Sudeste"
"56",2029-09-01,156.132703007838,177.887403494302,134.158504692754,31025,"MG","VESPASIANO","Região Sudeste"
"57",2029-10-01,155.726840213412,177.838759346612,133.447810005806,31025,"MG","VESPASIANO","Região Sudeste"
"58",2029-11-01,155.307448659172,177.773435094712,132.72841661387,31025,"MG","VESPASIANO","Região Sudeste"
"59",2029-12-01,154.901585864747,177.722360841447,132.023469323595,31025,"MG","VESPASIANO","Região Sudeste"
"60",2030-01-01,154.482194310507,177.654523457082,131.30986516393,31025,"MG","VESPASIANO","Região Sudeste"
"61",2030-02-01,154.062802756267,177.585403107222,130.599155572155,31025,"MG","VESPASIANO","Região Sudeste"
