"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,181.646564783621,182.070179247247,181.155213778434,42012,"SC","PLANALTO NORTE","Região Sul"
"2",2025-03-01,182.167382731518,183.0180315735,181.183196020251,42012,"SC","PLANALTO NORTE","Região Sul"
"3",2025-04-01,182.744002602404,184.025507867056,181.26505169465,42012,"SC","PLANALTO NORTE","Região Sul"
"4",2025-05-01,183.302021832293,185.017913069114,181.326738628072,42012,"SC","PLANALTO NORTE","Região Sul"
"5",2025-06-01,183.878641703179,186.032764714067,181.405115958373,42012,"SC","PLANALTO NORTE","Região Sul"
"6",2025-07-01,184.436660933068,187.032481120166,181.463441724977,42012,"SC","PLANALTO NORTE","Região Sul"
"7",2025-08-01,185.013280803954,188.054755028214,181.538375906481,42012,"SC","PLANALTO NORTE","Região Sul"
"8",2025-09-01,185.58990067484,189.080779791939,181.611576939917,42012,"SC","PLANALTO NORTE","Região Sul"
"9",2025-10-01,186.147919904729,190.091572639728,181.664900973368,42012,"SC","PLANALTO NORTE","Região Sul"
"10",2025-11-01,186.724539775615,191.125090657459,181.734711262252,42012,"SC","PLANALTO NORTE","Região Sul"
"11",2025-12-01,187.282559005504,192.143311933877,181.784760041778,42012,"SC","PLANALTO NORTE","Região Sul"
"12",2026-01-01,187.85917887639,193.184370813973,181.851214087487,42012,"SC","PLANALTO NORTE","Região Sul"
"13",2026-02-01,188.435798747276,194.229240370124,181.91597851132,42012,"SC","PLANALTO NORTE","Região Sul"
"14",2026-03-01,188.956616695173,195.220281030391,181.925336494793,42012,"SC","PLANALTO NORTE","Região Sul"
"15",2026-04-01,189.533236566058,196.272673861149,181.986892930627,42012,"SC","PLANALTO NORTE","Região Sul"
"16",2026-05-01,190.091255795948,197.30960653228,182.028973474211,42012,"SC","PLANALTO NORTE","Região Sul"
"17",2026-06-01,190.667875666833,198.369660166262,182.087258334015,42012,"SC","PLANALTO NORTE","Região Sul"
"18",2026-07-01,191.225894896723,199.414187853029,182.126180472978,42012,"SC","PLANALTO NORTE","Região Sul"
"19",2026-08-01,191.802514767609,200.481950888411,182.181227310368,42012,"SC","PLANALTO NORTE","Região Sul"
"20",2026-09-01,192.379134638494,201.553609608952,182.234643740357,42012,"SC","PLANALTO NORTE","Região Sul"
"21",2026-10-01,192.937153868384,202.60964323348,182.268866045477,42012,"SC","PLANALTO NORTE","Região Sul"
"22",2026-11-01,193.513773739269,203.689084896846,182.319094412425,42012,"SC","PLANALTO NORTE","Região Sul"
"23",2026-12-01,194.071792969159,204.752834981461,182.35024019668,42012,"SC","PLANALTO NORTE","Região Sul"
"24",2027-01-01,194.648412840045,205.840108906419,182.397313389414,42012,"SC","PLANALTO NORTE","Região Sul"
"25",2027-02-01,195.22503271093,206.931340483706,182.442797672475,42012,"SC","PLANALTO NORTE","Região Sul"
"26",2027-03-01,195.745850658827,207.967256339306,182.43469403024,42012,"SC","PLANALTO NORTE","Região Sul"
"27",2027-04-01,196.322470529713,209.066302636331,182.477165894306,42012,"SC","PLANALTO NORTE","Região Sul"
"28",2027-05-01,196.880489759602,210.149489758163,182.50083102711,42012,"SC","PLANALTO NORTE","Região Sul"
"29",2027-06-01,197.457109630488,211.256492567122,182.540228415469,42012,"SC","PLANALTO NORTE","Região Sul"
"30",2027-07-01,198.015128860377,212.347568731621,182.560928374483,42012,"SC","PLANALTO NORTE","Região Sul"
"31",2027-08-01,198.591748731263,213.462578395085,182.597283268074,42012,"SC","PLANALTO NORTE","Região Sul"
"32",2027-09-01,199.168368602149,214.58163377012,182.63210569605,42012,"SC","PLANALTO NORTE","Região Sul"
"33",2027-10-01,199.726387832038,215.684660817736,182.64839352608,42012,"SC","PLANALTO NORTE","Região Sul"
"34",2027-11-01,200.303007702924,216.81179922677,182.68022107657,42012,"SC","PLANALTO NORTE","Região Sul"
"35",2027-12-01,200.861026932813,217.92284112641,182.693621757268,42012,"SC","PLANALTO NORTE","Região Sul"
"36",2028-01-01,201.437646803699,219.058113657329,182.722485774407,42012,"SC","PLANALTO NORTE","Região Sul"
"37",2028-02-01,202.014266674585,220.197496087424,182.74985688042,42012,"SC","PLANALTO NORTE","Região Sul"
"38",2028-03-01,202.553685263478,221.300357090707,182.742180266344,42012,"SC","PLANALTO NORTE","Região Sul"
"39",2028-04-01,203.130305134363,222.447903556392,182.766679901177,42012,"SC","PLANALTO NORTE","Região Sul"
"40",2028-05-01,203.688324364253,223.57918174308,182.773019207267,42012,"SC","PLANALTO NORTE","Região Sul"
"41",2028-06-01,204.264944235139,224.734991259723,182.794632451106,42012,"SC","PLANALTO NORTE","Região Sul"
"42",2028-07-01,204.822963465028,225.874463304464,182.798190929713,42012,"SC","PLANALTO NORTE","Região Sul"
"43",2028-08-01,205.399583335914,227.038588019912,182.816948255769,42012,"SC","PLANALTO NORTE","Região Sul"
"44",2028-09-01,205.976203206799,228.206913960088,182.834266582443,42012,"SC","PLANALTO NORTE","Região Sul"
"45",2028-10-01,206.534222436689,229.358798148021,182.833687406002,42012,"SC","PLANALTO NORTE","Região Sul"
"46",2028-11-01,207.110842307575,230.535518196592,182.848195186818,42012,"SC","PLANALTO NORTE","Região Sul"
"47",2028-12-01,207.668861537464,231.695726569313,182.844909507864,42012,"SC","PLANALTO NORTE","Região Sul"
"48",2029-01-01,208.24548140835,232.880893644997,182.85663660612,42012,"SC","PLANALTO NORTE","Região Sul"
"49",2029-02-01,208.822101279235,234.07032843085,182.866962396461,42012,"SC","PLANALTO NORTE","Região Sul"
"50",2029-03-01,209.342919227132,235.201349705212,182.827160425218,42012,"SC","PLANALTO NORTE","Região Sul"
