"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,236.172959377432,236.723733798234,235.534115361161,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"2",2025-03-01,236.671843067327,237.777005946741,235.393187803222,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"3",2025-04-01,237.22417858114,238.887729939462,235.304318507718,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"4",2025-05-01,237.758696820314,239.984357291889,235.196582361389,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"5",2025-06-01,238.311032334127,241.102826279005,235.105284954824,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"6",2025-07-01,238.845550573301,242.207138766451,234.995230495182,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"7",2025-08-01,239.397886087114,243.333400860497,234.901533808002,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"8",2025-09-01,239.950221600926,244.463598754986,234.806624571542,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"9",2025-10-01,240.4847398401,245.579549937797,234.693121851791,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"10",2025-11-01,241.037075353913,246.717613732963,234.595856257463,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"11",2025-12-01,241.571593593087,247.841370326193,234.480105394857,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"12",2026-01-01,242.1239291069,248.987348839105,234.380511674088,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"13",2026-02-01,242.676264620713,250.137324470686,234.279741075937,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"14",2026-03-01,243.175148310608,251.236085949759,234.12633787229,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"15",2026-04-01,243.727483824421,252.393964300801,234.023373982468,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"16",2026-05-01,244.262002063595,253.537382959318,233.902192440247,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"17",2026-06-01,244.814337577408,254.703299017804,233.796969596607,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"18",2026-07-01,245.348855816582,255.854693998203,233.673635139335,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"19",2026-08-01,245.901191330395,257.028697582163,233.566180755929,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"20",2026-09-01,246.453526844208,258.206785416984,233.457597921963,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"21",2026-10-01,246.988045083382,259.370259661941,233.331061444222,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"22",2026-11-01,247.540380597195,260.556510394938,233.220287883979,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
"23",2026-12-01,248.074898836368,261.728085505746,233.091665189941,51013,"MT","SUL MATOGROSSENSE","Região Centro-Oeste"
