"",".model_id",".model_desc",".type","mae","mape","mase","smape","rmse","rsq","cod_regsaud"
"387",1,"PROPHET","Test",15.4193448928389,6.64877117553149,0.548137453686701,6.62274789642285,18.9971522122802,0.500959618432439,"43006"
"388",1,"PROPHET","Test",36.0314618106297,4.92591014901285,0.679281657085641,4.89957784080119,40.7186538290409,0.636644026896451,"43007"
"389",1,"PROPHET","Test",29.0118031359373,4.06476784932005,0.728462305815021,4.00047235115926,37.0595688950409,0.662967300654098,"43008"
"390",1,"PROPHET","Test",20.2981223942322,6.13542465580704,0.665038198101626,6.01881562992647,23.2090226107906,0.510964132841738,"43009"
"391",1,"PROPHET","Test",74.3472974865601,4.01453712301779,0.66874768955451,4.10385161822873,90.6230435196399,0.780533842834032,"43010"
"392",2,"XGBOOST","Test",21.5955607096354,8.12970995973483,0.903087084221117,8.2462810968695,26.1923043134289,NA,"43011"
"393",1,"PROPHET","Test",8.4920776449133,7.39150207872069,0.527885907656773,7.11234813797872,10.1980184386413,0.520637387464582,"43012"
"394",1,"PROPHET","Test",16.864239140171,8.20178322325314,0.596734615729129,7.99048716066919,20.4759682340394,0.362578282478133,"43013"
"395",1,"PROPHET","Test",13.7573577834103,6.75251029133135,0.621648779996927,6.4898467903287,16.204786663496,0.716963207015164,"43014"
"396",1,"PROPHET","Test",17.0507574687188,9.15669864473733,0.762971637705317,8.68032802059213,21.824232665725,0.233951012371755,"43015"
"397",1,"PROPHET","Test",13.9349116558847,6.68191348536212,0.615168844693568,6.51092980843031,17.8116638796205,0.376112025341973,"43016"
"398",1,"PROPHET","Test",20.2174390452721,4.77057014603462,0.658641781928126,4.66891971746209,23.1317266100694,0.470924693462118,"43017"
"399",1,"PROPHET","Test",9.54015215665828,7.84181128665512,0.884772175819114,7.5173102341807,12.0670157015775,0.0464884038655541,"43018"
"400",1,"PROPHET","Test",9.02424385024903,9.03299973564546,0.654755862951822,8.83605121475691,10.8862347625944,0.238589711301194,"43019"
"401",1,"PROPHET","Test",12.8311492222541,7.43502115777683,0.850479631446239,7.36754977669522,14.9363630883096,0.32100636407,"43020"
"402",1,"PROPHET","Test",24.1088726442964,3.53459301559978,0.484706355610854,3.48592000234329,29.8213421428914,0.711645574026733,"43021"
"403",1,"PROPHET","Test",16.3564237470125,10.1154490168081,0.895708919479256,9.53767066971776,20.0724527932493,0.2069832941495,"43022"
"404",1,"PROPHET","Test",20.9397485140888,3.70561639039858,0.689991713214961,3.73735465101509,27.0538652283939,0.399675580854605,"43023"
"405",2,"XGBOOST","Test",10.5298487345378,10.1148218052619,0.846806017113176,9.5225608436766,12.6074427110676,NA,"43024"
"406",1,"PROPHET","Test",16.5707236500165,5.75793725419275,0.769952816061372,5.60912828874912,19.7457170004691,0.367382137139601,"43025"
"407",1,"PROPHET","Test",10.1024901403642,6.04042166883774,0.988754354163306,5.82916596999354,12.1332958484754,0.334562834825047,"43026"
"408",2,"XGBOOST","Test",16.1308441162109,10.9855308616328,0.877090814829436,9.94665785475029,21.7258715542483,NA,"43027"
"409",1,"PROPHET","Test",13.176256312841,4.39723900805125,0.655960812111131,4.41937892381673,15.7381647364048,0.542741373865249,"43028"
"410",1,"PROPHET","Test",15.0800048338264,7.38485338045054,0.804733436607903,6.95887859261091,19.475401173931,0.44201177355985,"43029"
"411",1,"PROPHET","Test",9.76853418787552,8.6622647456257,0.620652724644025,8.22031164169594,12.3981586829972,0.436406018646148,"43030"
"412",1,"PROPHET","Test",60.8822405476482,3.53941876459639,0.639694624301466,3.45507370554216,80.903900274325,0.708328897579976,"50001"
"413",1,"PROPHET","Test",14.4663519945638,8.44709057250545,0.805632193401859,8.07802161711552,17.7747252350122,0.628480044525602,"50002"
"414",1,"PROPHET","Test",66.80957564275,6.34600347109268,0.771395702702435,6.06671930898146,79.9553228209157,0.619538626960582,"50003"
"415",1,"PROPHET","Test",21.0080541144644,6.52167379530364,0.625887622581194,6.20775996520089,28.5578498331863,0.444937703577933,"50004"
"416",1,"PROPHET","Test",13.4265878346696,8.90063944051371,0.800029845070985,9.27736234184903,15.4498689129391,0.162883601842403,"51001"
"417",1,"PROPHET","Test",59.5867057175372,4.80423422178315,0.65857483493674,4.66178791487382,78.4294623416387,0.521215495447891,"51002"
"418",1,"PROPHET","Test",10.9014652416757,8.2921860292364,0.665076128802496,8.40607115019299,13.972438836034,0.17012520434503,"51003"
"419",1,"PROPHET","Test",8.44901380425412,8.12204851229533,0.649924138788779,7.77804198671726,11.1556729892162,0.158499740348978,"51004"
"420",2,"XGBOOST","Test",16.3812967936198,9.33826934396875,1.05242968227166,8.68180417156023,21.4992876344551,NA,"51005"
"421",1,"PROPHET","Test",15.036627775802,9.03615583597883,0.625393198631908,8.60465599919851,19.3480806599206,0.371203777170926,"51006"
"422",2,"XGBOOST","Test",18.9725290934245,5.52581430075547,0.922554268813452,5.42475521959935,22.8398284769817,NA,"51007"
"423",2,"XGBOOST","Test",11.4010874430339,6.06778752349009,0.80933645428944,5.95829887097779,14.1087573812831,NA,"51008"
"424",1,"PROPHET","Test",4.24634681438615,15.4760018363594,0.728850572618518,15.3131358310622,5.17351030143709,0.101022119132174,"51009"
"425",2,"XGBOOST","Test",8.42331059773763,8.6639756449141,0.745139014415252,8.9689204395986,10.9793188925011,NA,"51010"
"426",2,"XGBOOST","Test",17,7.42875698566259,0.900921658986175,7.50850036511568,21.1955982580758,NA,"51011"
"427",1,"PROPHET","Test",9.35121670392577,5.58223203571648,0.609286074193464,5.50984087245301,11.1787036165586,0.269191045062261,"51012"
"428",1,"PROPHET","Test",34.1483750162122,4.97220717018082,0.715312044966194,4.8545082677653,44.1877415934271,0.457589409166884,"51013"
"429",1,"PROPHET","Test",30.671537736439,3.77443125535445,0.658064708897479,3.77689155606269,39.4567165929906,0.407093572964813,"51014"
"430",1,"PROPHET","Test",12.8000849744611,8.39811386718721,0.687855033674309,8.06414172964982,16.9970553344124,0.0667119591535837,"51015"
"431",1,"PROPHET","Test",12.6576695284556,15.0584465396931,1.43412019287921,16.5470590223998,14.7469322929344,3.16535136519008e-05,"51016"
"432",1,"PROPHET","Test",90.3429197183041,4.48606056620809,0.983848084053501,4.56658741975041,106.687272970353,0.461287280930581,"52001"
"433",1,"PROPHET","Test",56.1293568809805,5.56958894994009,1.03443526303089,5.49543140558344,68.648005969436,0.184601732913815,"52002"
