"","uf_sigla","cod_regsaud","regiao_saude","total","total_materno","perc_fc"
"430","SP",35152,"Santa Fé do Sul",19620,2899,0.147757390417941
"431","SP",35153,"Jales",104838,24669,0.23530590053225
"432","SP",35154,"Fernandópolis",103549,19725,0.190489526697506
"433","SP",35155,"São José do Rio Preto",566882,160557,0.283228255615807
"434","SP",35156,"José Bonifácio",85937,16291,0.189569102947508
"435","SP",35157,"Votuporanga",184849,45857,0.248078161093649
"436","SP",35161,"Itapetininga",292394,100821,0.344812137047956
"437","SP",35162,"Itapeva",148681,54510,0.36662384568304
"438","SP",35163,"Sorocaba",863870,272313,0.31522451294755
"439","SP",35171,"Alto Vale do Paraíba",685430,268902,0.392311395766161
"440","SP",35172,"Circuito da Fé e Vale Histórico",198193,47394,0.23913054446928
"441","SP",35173,"Litoral Norte",207849,77580,0.373251735635004
"442","SP",35174,"Vale do Paraíba/Região Serrana",271405,74390,0.274092223798382
"443","TO",17001,"Médio Norte Araguaia",179452,71786,0.400028977108085
"444","TO",17002,"Bico do Papagaio",153616,59302,0.386040516612853
"445","TO",17003,"Sudeste",52136,20554,0.394238146386374
"446","TO",17004,"Cerrado Tocantins Araguaia",116149,41381,0.356275129359702
"447","TO",17005,"Ilha do Bananal",118998,32827,0.275861779189566
"448","TO",17006,"Capim Dourado",232212,121980,0.525295850343651
"449","TO",17007,"Cantão",117771,29085,0.246962325190412
"450","TO",17008,"Amor Perfeito",68146,23504,0.344906524227394
