"","uf_sigla","ano","mes","competen","qtd"
"152","CE","2018","01",2018-01-01,10505
"153","CE","2010","08",2010-08-01,10931
"154","CE","2003","07",2003-07-01,12218
"155","CE","2001","11",2001-11-01,11898
"156","CE","2006","04",2006-04-01,11965
"157","CE","2021","09",2021-09-01,10112
"158","CE","2020","09",2020-09-01,9998
"159","CE","2020","11",2020-11-01,9468
"160","CE","2015","05",2015-05-01,11837
"161","CE","2022","04",2022-04-01,9748
"162","CE","2020","05",2020-05-01,10950
"163","CE","2023","02",2023-02-01,8512
"164","CE","2000","08",2000-08-01,12466
"165","CE","2014","02",2014-02-01,9484
"166","CE","2015","08",2015-08-01,11086
"167","CE","2006","11",2006-11-01,10412
"168","CE","2016","05",2016-05-01,11404
"169","CE","2005","12",2005-12-01,10288
"170","CE","2000","07",2000-07-01,12513
"171","CE","2006","10",2006-10-01,11022
"172","CE","2001","04",2001-04-01,12588
"173","CE","2006","03",2006-03-01,12335
"174","CE","2006","12",2006-12-01,10618
"175","CE","2022","05",2022-05-01,9841
"176","CE","2011","07",2011-07-01,10974
"177","CE","2022","11",2022-11-01,9439
"178","CE","2008","08",2008-08-01,11125
"179","CE","2000","05",2000-05-01,13410
"180","CE","2006","08",2006-08-01,11533
"181","CE","2014","08",2014-08-01,10834
"182","CE","2007","01",2007-01-01,10996
"183","CE","2017","04",2017-04-01,10818
"184","CE","2003","11",2003-11-01,10787
"185","CE","2006","07",2006-07-01,11704
"186","CE","2007","08",2007-08-01,11757
"187","CE","2011","02",2011-02-01,9355
"188","CE","2006","01",2006-01-01,9908
"189","CE","2004","11",2004-11-01,10770
"190","CE","2009","02",2009-02-01,10284
"191","CE","2008","05",2008-05-01,12361
"192","CE","2019","02",2019-02-01,10290
"193","CE","2012","01",2012-01-01,10821
"194","CE","2015","12",2015-12-01,10784
"195","CE","2003","06",2003-06-01,11765
"196","CE","2002","08",2002-08-01,11514
"197","CE","2009","09",2009-09-01,10611
"198","CE","2019","06",2019-06-01,10593
"199","CE","2006","05",2006-05-01,12653
"200","CE","2021","06",2021-06-01,10388
"201","CE","2010","05",2010-05-01,11258
"202","CE","2008","04",2008-04-01,11867
