"",".model_id",".model_desc",".type","mae","mape","mase","smape","rmse","rsq"
"1",6,"EARTH","Test",101.891941843818,9.01761954899383,1.29315812405721,8.43618926655886,124.424984090373,0.317201043373314
"2",4,"PROPHET","Test",120.608797902718,10.6688354921688,1.53070246791196,9.87445308303967,149.356401252061,0.0229718995434764
"3",2,"ARIMA(0,0,0) WITH NON-ZERO MEAN W/ XGBOOST ERRORS","Test",173.865005600844,15.3933499122621,2.20660182162997,13.991125049502,194.579075194316,0.213802990885737
