"","cod_regsaude",".index",".value",".model_id",".model_desc",".key","tipo",".conf_lo",".conf_hi","arquivo_origem"
"49",16001,"2008-02-01",751,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"50",16001,"2019-11-01",823,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"51",16001,"2023-09-01",733,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"52",16001,"2013-08-01",917,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"53",16001,"2014-12-01",950,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"54",16001,"2016-04-01",810,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"55",16001,"2001-02-01",734,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"56",16001,"2009-06-01",512,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"57",16001,"2013-04-01",828,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"58",16001,"2014-10-01",962,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"59",16001,"2019-02-01",777,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"60",16001,"2023-02-01",696,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"61",16001,"2008-03-01",780,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"62",16001,"2009-08-01",732,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"63",16001,"2005-12-01",776,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"64",16001,"2019-10-01",926,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"65",16001,"2023-05-01",648,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"66",16001,"2003-12-01",810,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"67",16001,"2012-01-01",905,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"68",16001,"2018-09-01",1005,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"69",16001,"2022-11-01",766,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"70",16001,"2002-06-01",734,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"71",16001,"2022-04-01",742,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"72",16001,"2005-09-01",800,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"73",16001,"2004-07-01",781,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"74",16001,"2014-04-01",926,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"75",16001,"2003-08-01",845,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"76",16001,"2005-03-01",746,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"77",16001,"2011-08-01",847,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"78",16001,"2008-01-01",759,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"79",16001,"2020-09-01",841,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"80",16001,"2000-12-01",826,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"81",16001,"2022-03-01",786,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"82",16001,"2023-10-01",761,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"83",16001,"2009-09-01",870,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"84",16001,"2016-02-01",831,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"85",16001,"2021-12-01",819,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"86",16001,"2017-09-01",917,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"87",16001,"2006-09-01",863,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"88",16001,"2008-09-01",899,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"89",16001,"2021-02-01",712,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"90",16001,"2013-02-01",777,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"91",16001,"2012-08-01",785,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"92",16001,"2005-06-01",751,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"93",16001,"2015-09-01",917,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"94",16001,"2002-01-01",838,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"95",16001,"2021-09-01",878,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"96",16001,"2004-10-01",810,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"97",16001,"2000-02-01",784,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"98",16001,"2014-01-01",907,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"99",16001,"2002-10-01",887,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"100",16001,"2006-03-01",781,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"101",16001,"2009-01-01",913,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
