.model_id,.model_desc,.type,mae,mape,mase,smape,rmse,rsq,cod_regsaud
1,PROPHET,Test,19.6994190564775,7.47879872923153,0.721475538692648,7.14728290690531,23.8335731713808,0.368775458580832,11001
2,XGBOOST,Test,24.2992248535156,9.41970729037965,0.889939763743407,8.75753512242936,31.1813651051671,NA,11001
2,XGBOOST,Test,14.033686319987,6.20371057508631,0.673851326429437,6.44976343503679,18.8257055143431,NA,11002
1,PROPHET,Test,14.0812985793103,6.70997145152888,0.676137510071269,6.48944609445715,17.0464527524488,0.127016572904892,11002
2,XGBOOST,Test,31.1997756958008,7.62047012348243,0.717594841003418,7.55002211793843,36.8504370892108,NA,11003
1,PROPHET,Test,35.8674087595124,9.14724026711888,0.824950401468784,8.60481747613458,43.1349243155797,0.242149945705052,11003
1,PROPHET,Test,60.5689265567213,8.82965491415532,1.28750952939426,8.28822460309263,73.606623606638,0.210187762424345,11004
2,XGBOOST,Test,73.8285319010417,10.8000985552391,1.56936805334931,10.0193681873428,87.5521019337438,NA,11004
2,XGBOOST,Test,10.7433217366536,6.66826932957435,0.753342682753152,6.97418027787368,14.957604478234,NA,11005
1,PROPHET,Test,12.8894544976562,8.55563388528501,0.903833699530768,8.35418989616097,15.0144236727905,0.0714365395809243,11005
2,XGBOOST,Test,12.6398620605469,6.41137046892602,0.608194199566063,6.40168608402755,16.8300915160194,NA,11006
1,PROPHET,Test,15.2655409893351,8.11858017886567,0.734534399068424,7.65087725905649,19.583206647855,0.101742546512321,11006
1,PROPHET,Test,4.5122509403664,7.90833832350139,0.614093323245132,8.00253005300659,5.58274694746877,0.318485680710045,11007
2,XGBOOST,Test,11.8093105951945,19.58142068448,1.60718428218623,22.303690864365,13.47216135355,NA,11007
1,PROPHET,Test,9.88297604006881,8.95333849200747,0.775796753998575,8.60750921444951,11.6835000642465,0.289611665653125,12001
2,XGBOOST,Test,16.1314595540365,14.9284826236919,1.26629204690389,13.7933610863244,17.7497486162143,NA,12001
1,PROPHET,Test,40.2811020025628,6.02526556587259,0.74775249883692,5.75093746114767,51.3032778155527,0.424850974981573,12002
2,XGBOOST,Test,52.5500996907552,7.96093936399432,0.975506289658894,7.53261091922742,64.2424016813484,NA,12002
2,XGBOOST,Test,31.0670649210612,8.12498100938336,1.11299453767042,7.71821912750448,37.4037793076178,NA,12003
1,PROPHET,Test,31.4660900224838,8.14846473901425,1.12728982946593,7.78631348098326,37.1779751020202,0.110610675287387,12003
1,PROPHET,Test,171.783004752842,5.18343414994129,1.01646748374462,4.99266859055505,207.899580892847,0.391459012972974,13001
2,XGBOOST,Test,317.582194010417,9.61867544768022,1.87918457994329,9.06486565056611,353.915053202072,NA,13001
2,XGBOOST,Test,27.9503987630208,6.55408671014142,0.945381134631587,6.32588424638617,35.6777003492708,NA,13002
1,PROPHET,Test,45.9747917518032,10.8207641160792,1.55502972101687,10.1019541378808,52.9624300512661,0.0535120943227168,13002
1,PROPHET,Test,36.6613374166107,14.1792886549045,1.57315440407098,12.8336865529773,44.2444549105374,0.00297021668596529,13003
