"","ano","uf_sigla","cod_regsaude","regiao_saude","media_necessidade","media_oferta","media_percentual","media_diferenca","mediana_necessidade","mediana_oferta","mediana_percentual","mediana_diferenca","sd_necessidade","sd_oferta","sd_percentual","sd_diferenca","q05_percentual","q95_percentual"
"1",2014,"AC",12001,"Alto Acre",9.68400584478748,6.413491586378,69.3142324741812,-3.27051425840948,9.47060004997254,6.24723694718389,64.3996438481173,-3.31123032415896,2.11188953635596,1.08248486231994,19.0191554647125,2.29582287044915,45.9070103301593,105.335803650042
"2",2014,"AC",12002,"Baixo Acre e Purus",73.4322954445978,26.1798427067432,37.3741718021495,-47.2524527378546,72.562104468946,25.5011920459062,35.7302799484237,-46.6006567854368,16.2456301923103,4.41869815314924,10.4127777976214,16.5051451905545,24.409928326725,57.3450052382104
"3",2014,"AC",12003,"Juruá e Tarauacá/Envira",39.0038686161687,15.9102743412023,42.6928373602593,-23.0935942749664,38.1514677823725,15.4978380131195,39.6605701787011,-23.0817945983956,8.50698919101023,2.68537518101513,11.7139401116799,8.71614299433864,28.2940756796412,64.9281021458691
"4",2014,"AL",27001,"1ª Região de Saúde",123.751360137701,48.32657334744,41.7997486112231,-75.4247867902614,119.135874583477,47.0738209414914,39.2076578245433,-72.270851091943,32.4468878013815,8.15667774594239,13.4013928163382,32.9606202967383,25.9865062759423,68.2739995317756
"5",2014,"AL",27002,"2ª Região de Saúde",18.8883918153954,10.6166428537603,58.8340588505769,-8.27174896163507,18.4513847628216,10.3414314336887,54.6989932219977,-8.40428433743346,4.12207996192781,1.79190305671595,16.168960337096,4.36344069069704,38.758761658468,88.8753232620742
"6",2014,"AL",27003,"3ª Região de Saúde",26.9317660392743,14.4808573057216,56.2796365021968,-12.4509087335527,26.3184394755672,14.1054752421203,52.3084652756099,-12.6378609549425,5.87625649177643,2.4441146629322,15.4600942514481,6.18390774603103,37.1336354363923,85.166176864697
"7",2014,"AL",27004,"4ª Região de Saúde",16.6077850480106,8.18733182918304,51.6027546445481,-8.42045321882756,16.2231792633654,7.97509456639247,47.9775114421977,-8.45491106416427,3.62476847820876,1.38187797528336,14.183356820079,3.77625284011234,33.9875479336445,77.9331148567355
"8",2014,"AL",27005,"5ª Região de Saúde",24.4332831195782,13.4768651927084,57.7418132385317,-10.9564179268698,23.8519754881716,13.1275092561012,53.7804170022031,-11.1257803035172,5.33651026282505,2.27465840816238,15.8873697679051,5.63433958523276,37.9221197258795,86.9230852148185
"9",2014,"AL",27006,"6ª Região de Saúde",24.2201443370566,12.8411091313428,55.501373633679,-11.3790352057138,23.6462918805206,12.508233670803,51.6627128151822,-11.5063014897187,5.28946200293677,2.16735393862535,15.2687662470539,5.55649076090724,36.4653812880054,83.5885595893005
"10",2014,"AL",27007,"7ª Região de Saúde",61.3553514505222,28.7633370327432,49.094366604109,-32.5920144177789,60.0488335398517,28.0177153762724,46.111101951536,-32.4866830350527,13.443752234923,4.85474667089024,13.5571280022382,13.9328036732916,32.0021849000641,74.4292958955256
"11",2014,"AL",27008,"8ª Região de Saúde",17.4399519921497,8.12850111914627,48.8441972523465,-9.31145087300342,17.2276406745029,7.91778890372482,46.4677940844291,-9.31293687271229,3.84619976588388,1.37194838354746,13.5706329614372,3.98260590664056,31.7592073257692,74.5781466087656
"12",2014,"AL",27009,"9ª Região de Saúde",28.9497851035575,12.4328650195597,44.949593788065,-16.5169200839978,28.2955252054025,12.1105723245219,41.7842284034135,-16.5577717127656,6.31414814805566,2.09844949473786,12.3412762384739,6.49478812009,29.6938677962763,68.1118612393652
"13",2014,"AL",27010,"10ª Região de Saúde",19.1694772876757,11.1716973223832,60.9971584225103,-7.99777996529254,18.7344910747841,10.8820974246515,56.7055469994449,-8.12801445840475,4.18093814969179,1.88558651321622,16.748208824868,4.44888628331262,40.2813552052764,92.3930840846692
"14",2014,"AM",13001,"Manaus, Entorno e Alto Rio Negro",315.49530448604,129.669122796251,43.9674427572581,-185.826181689789,303.301901350772,126.307756692505,41.3224119666938,-177.189826999427,82.3953788582905,21.8858730298137,14.0492672986671,83.920004955007,27.3826410622679,71.6709483908025
"15",2014,"AM",13002,"Rio Negro e Solimões",41.2790558852872,17.7444870904142,44.9891701075914,-23.5345687948731,40.3898153256426,17.2845031239321,41.809239003791,-23.5332848007217,9.0027252700032,2.99495811389264,12.3391500212263,9.26045684860952,29.8654225710387,68.5435555019757
"16",2014,"AM",13003,"Rio Madeira",22.78832444372,12.1844747583103,55.9581211298082,-10.6038496854097,22.3046573303889,11.8686209948135,52.0177982925321,-10.7044315603309,4.96954225515863,2.05652557636534,15.3455715846483,5.22586388247585,37.1580214306504,85.2800468747356
"17",2014,"AM",13004,"Médio Amazonas",23.1487727035216,13.1044258444514,59.2509740544528,-10.0443468590701,22.6270250675583,12.7647245193195,55.0780410463899,-10.2318512969297,5.04956864014411,2.21179718020399,16.26926106196,5.35058268596497,39.1433300746296,89.7887848894497
"18",2014,"AM",13005,"Baixo Amazonas",35.5088159502366,15.2605506218418,44.9787685615619,-20.2482653283947,34.7606766250209,14.8649568484086,41.8156462365516,-20.2515661842614,7.74445530148627,2.57571321585536,12.3355989777716,7.9659762644844,29.8687896168859,68.5510267959968
"19",2014,"AM",13006,"Regional Purus",17.6776282015899,6.451773141968,38.1970465674195,-11.2258550596219,17.3266327017225,6.28452614375593,35.5428162779125,-11.2568823714053,3.85595257678676,1.08894611729691,10.4748258280215,3.92301457100529,25.3852793008156,58.2606487600536
