"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,78.6285084761671,78.490557296703,78.3366274969809,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"2",2025-03-01,79.0525197123077,78.7753728613953,78.4666991150555,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"3",2025-04-01,79.5219607237492,79.1041384997611,78.6396512817997,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"4",2025-05-01,79.976258476757,79.4164707734148,78.795318471153,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"5",2025-06-01,80.4456994881985,79.7424744802942,78.9636105468925,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"6",2025-07-01,80.8999972412063,80.0521052590033,79.1147582772082,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"7",2025-08-01,81.3694382526478,80.3753623594013,79.2784498315577,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"8",2025-09-01,81.8388792640892,80.6972387585632,79.4398358828942,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"9",2025-10-01,82.2931770170971,81.0028324918045,79.5842865129599,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"10",2025-11-01,82.7626180285385,81.3219851802718,79.7411604265766,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"11",2025-12-01,83.2169157815463,81.6249150863499,79.8812367294426,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"12",2026-01-01,83.6863567929878,81.9413592058104,80.0336565172948,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"13",2026-02-01,84.1557978044292,82.2564416889893,80.1838439250273,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"14",2026-03-01,84.5798090405699,82.525839798889,80.2886885111217,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"15",2026-04-01,85.0492500520113,82.8382881813209,80.4346145887026,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"16",2026-05-01,85.5035478050192,83.1346624622996,80.5640824371244,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"17",2026-06-01,85.9729888164606,83.4444396762998,80.7056961609818,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"18",2026-07-01,86.4272865694685,83.7382019069881,80.8309856136162,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"19",2026-08-01,86.8967275809099,84.045322841713,80.968342883695,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"20",2026-09-01,87.3661685923514,84.351108349581,81.1035665147579,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"21",2026-10-01,87.8204663453592,84.6409671673539,81.2226648834737,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"22",2026-11-01,88.2899073568007,84.944118640637,81.3537149971377,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"23",2026-12-01,88.7442051098085,85.2314020009957,81.4687711179643,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"24",2027-01-01,89.21364612125,85.5319341503719,81.5957021442086,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"25",2027-02-01,89.6830871326914,85.8311493962093,81.7205681503111,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"26",2027-03-01,90.1070983688321,86.0856491744925,81.802140098197,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"27",2027-04-01,90.5765393802735,86.3823178397342,81.9230698371674,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"28",2027-05-01,91.0308371332814,86.6632638294027,82.0283288539074,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"29",2027-06-01,91.5002781447228,86.9573495050131,82.1452724986686,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"30",2027-07-01,91.9545758977307,87.2357703334953,82.2466730197957,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"31",2027-08-01,92.4240169091721,87.5272874842952,82.3596830074803,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"32",2027-09-01,92.8934579206135,87.8175131948439,82.470720609502,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"33",2027-10-01,93.3477556736214,88.0921604253184,82.5664046490204,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"34",2027-11-01,93.8171966850628,88.3798392218486,82.673586390196,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"35",2027-12-01,94.2714944380707,88.6519968375573,82.7655396058215,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"36",2028-01-01,94.7409354495121,88.9371430111285,82.8689165363237,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"37",2028-02-01,95.2103764609536,89.2210157404286,82.9703854498897,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"38",2028-03-01,95.6495309555278,89.4752871150572,83.0436640989987,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"39",2028-04-01,96.1189719669693,89.7566734259667,83.1414527448558,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"40",2028-05-01,96.5732697199771,90.0226808640486,83.2243209658097,31023,"MG","JOAO MONLEVADE","Região Sudeste"
"41",2028-06-01,97.0427107314186,90.3015699353141,83.3184298733053,31023,"MG","JOAO MONLEVADE","Região Sudeste"
