"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,127.859109361386,127.634784682163,127.384476906039,25009,"PB","9ª REGIAO","Região Nordeste"
"2",2025-03-01,128.22061172417,127.771088560446,127.270429799373,25009,"PB","9ª REGIAO","Região Nordeste"
"3",2025-04-01,128.620846482967,127.945050166583,127.193776699342,25009,"PB","9ª REGIAO","Região Nordeste"
"4",2025-05-01,129.008170443093,128.105187622689,127.103218743329,25009,"PB","9ª REGIAO","Região Nordeste"
"5",2025-06-01,129.40840520189,128.277167269347,127.024253314567,25009,"PB","9ª REGIAO","Região Nordeste"
"6",2025-07-01,129.795729162016,128.435373638733,126.931496764458,25009,"PB","9ª REGIAO","Região Nordeste"
"7",2025-08-01,130.195963920813,128.605383084679,126.850257487572,25009,"PB","9ª REGIAO","Região Nordeste"
"8",2025-09-01,130.59619867961,128.774400634218,126.767872230508,25009,"PB","9ª REGIAO","Região Nordeste"
"9",2025-10-01,130.983522639736,128.929720885228,126.67186481416,25009,"PB","9ª REGIAO","Região Nordeste"
"10",2025-11-01,131.383757398533,129.096785802591,126.587262773034,25009,"PB","9ª REGIAO","Região Nordeste"
"11",2025-12-01,131.771081358659,129.250203828416,126.489150015337,25009,"PB","9ª REGIAO","Região Nordeste"
"12",2026-01-01,132.171316117456,129.415327727502,126.402368569468,25009,"PB","9ª REGIAO","Região Nordeste"
"13",2026-02-01,132.571550876252,129.579474365073,126.31448838574,25009,"PB","9ª REGIAO","Região Nordeste"
"14",2026-03-01,132.933053239037,129.704854858679,126.188751492947,25009,"PB","9ª REGIAO","Região Nordeste"
"15",2026-04-01,133.333287997834,129.867122033093,126.098838324755,25009,"PB","9ª REGIAO","Região Nordeste"
"16",2026-05-01,133.72061195796,130.015867467017,125.995688855982,25009,"PB","9ª REGIAO","Região Nordeste"
"17",2026-06-01,134.120846716757,130.17622229097,125.903687343992,25009,"PB","9ª REGIAO","Região Nordeste"
"18",2026-07-01,134.508170676883,130.323105136791,125.798557845015,25009,"PB","9ª REGIAO","Região Nordeste"
"19",2026-08-01,134.90840543568,130.481559024707,125.70450387833,25009,"PB","9ª REGIAO","Região Nordeste"
"20",2026-09-01,135.308640194476,130.63905575319,125.609414683602,25009,"PB","9ª REGIAO","Região Nordeste"
"21",2026-10-01,135.695964154603,130.783154823899,125.501358410306,25009,"PB","9ª REGIAO","Região Nordeste"
"22",2026-11-01,136.096198913399,130.938767670471,125.404269979015,25009,"PB","9ª REGIAO","Região Nordeste"
"23",2026-12-01,136.483522873525,131.081032166007,125.294320599281,25009,"PB","9ª REGIAO","Região Nordeste"
"24",2027-01-01,136.883757632322,131.234772404112,125.195267784113,25009,"PB","9ª REGIAO","Região Nordeste"
"25",2027-02-01,137.283992391119,131.387569689659,125.095223802301,25009,"PB","9ª REGIAO","Região Nordeste"
"26",2027-03-01,137.645494753904,131.502423075835,124.959034854896,25009,"PB","9ª REGIAO","Região Nordeste"
"27",2027-04-01,138.045729512701,131.653407877726,124.857165188348,25009,"PB","9ª REGIAO","Região Nordeste"
"28",2027-05-01,138.433053472827,131.791166747814,124.742695905275,25009,"PB","9ª REGIAO","Região Nordeste"
"29",2027-06-01,138.833288231623,131.940306767076,124.638946732324,25009,"PB","9ª REGIAO","Região Nordeste"
"30",2027-07-01,139.22061219175,132.07626953068,124.522701091955,25009,"PB","9ª REGIAO","Região Nordeste"
"31",2027-08-01,139.620846950546,132.223575846642,124.417105863116,25009,"PB","9ª REGIAO","Região Nordeste"
"32",2027-09-01,140.021081709343,132.369958722766,124.310578673474,25009,"PB","9ª REGIAO","Região Nordeste"
"33",2027-10-01,140.408405669469,132.503237041331,124.191708252341,25009,"PB","9ª REGIAO","Região Nordeste"
"34",2027-11-01,140.808640428266,132.647802767684,124.083384606031,25009,"PB","9ª REGIAO","Região Nordeste"
"35",2027-12-01,141.195964388392,132.77931216693,123.96281879722,25009,"PB","9ª REGIAO","Região Nordeste"
"36",2028-01-01,141.596199147189,132.922071685652,123.852731169645,25009,"PB","9ª REGIAO","Região Nordeste"
"37",2028-02-01,141.996433905986,133.063921554878,123.74175264942,25009,"PB","9ª REGIAO","Região Nordeste"
"38",2028-03-01,142.370847067441,133.180709731823,123.607472856878,25009,"PB","9ª REGIAO","Região Nordeste"
"39",2028-04-01,142.771081826238,133.320790931402,123.494820118002,25009,"PB","9ª REGIAO","Região Nordeste"
"40",2028-05-01,143.158405786364,133.447935587977,123.370174238322,25009,"PB","9ª REGIAO","Região Nordeste"
"41",2028-06-01,143.558640545161,133.586237660717,123.255836886846,25009,"PB","9ª REGIAO","Região Nordeste"
"42",2028-07-01,143.945964505287,133.711650803919,123.129604622525,25009,"PB","9ª REGIAO","Região Nordeste"
"43",2028-08-01,144.346199264084,133.848184502807,123.013613812596,25009,"PB","9ª REGIAO","Região Nordeste"
"44",2028-09-01,144.746434022881,133.983827528313,122.89678741879,25009,"PB","9ª REGIAO","Região Nordeste"
"45",2028-10-01,145.133757983007,134.106652735267,122.768212037095,25009,"PB","9ª REGIAO","Região Nordeste"
"46",2028-11-01,145.533992741804,134.240543452928,122.649778376274,25009,"PB","9ª REGIAO","Região Nordeste"
"47",2028-12-01,145.92131670193,134.361663529517,122.519691973917,25009,"PB","9ª REGIAO","Região Nordeste"
"48",2029-01-01,146.321551460727,134.493812558821,122.399681283084,25009,"PB","9ª REGIAO","Região Nordeste"
"49",2029-02-01,146.721786219524,134.625084299426,122.278873257834,25009,"PB","9ª REGIAO","Região Nordeste"
"50",2029-03-01,147.083288582308,134.720004730587,122.125115473105,25009,"PB","9ª REGIAO","Região Nordeste"
