"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,130.526983075614,130.297977698097,130.042447067381,35064,"SP","JAU","Região Sudeste"
"2",2025-03-01,131.036910356366,130.577513651609,130.065858182869,35064,"SP","JAU","Região Sudeste"
"3",2025-04-01,131.601472702912,130.910015657533,130.14133237333,35064,"SP","JAU","Região Sudeste"
"4",2025-05-01,132.147823360861,131.22286478003,130.196511131048,35064,"SP","JAU","Região Sudeste"
"5",2025-06-01,132.712385707407,131.552265662684,130.267363033944,35064,"SP","JAU","Região Sudeste"
"6",2025-07-01,133.258736365356,131.862085957744,130.318084986305,35064,"SP","JAU","Região Sudeste"
"7",2025-08-01,133.823298711902,132.188403374526,130.38437896405,35064,"SP","JAU","Região Sudeste"
"8",2025-09-01,134.387861058449,132.513169872366,130.448384962438,35064,"SP","JAU","Região Sudeste"
"9",2025-10-01,134.934211716398,132.818463756798,130.49250685032,35064,"SP","JAU","Região Sudeste"
"10",2025-11-01,135.498774062944,133.140173169632,130.552050400725,35064,"SP","JAU","Região Sudeste"
"11",2025-12-01,136.045124720893,133.442481603208,130.591871996848,35064,"SP","JAU","Região Sudeste"
"12",2026-01-01,136.609687067439,133.761151374729,130.64701572248,35064,"SP","JAU","Região Sudeste"
"13",2026-02-01,137.174249413986,134.078292197695,130.699950478812,35064,"SP","JAU","Região Sudeste"
"14",2026-03-01,137.684176694738,134.340600169736,130.698828726979,35064,"SP","JAU","Região Sudeste"
"15",2026-04-01,138.248739041284,134.654789764784,130.747584903564,35064,"SP","JAU","Região Sudeste"
"16",2026-05-01,138.795089699233,134.949756235647,130.777018444849,35064,"SP","JAU","Região Sudeste"
"17",2026-06-01,139.359652045779,135.260949264773,130.82152766746,35064,"SP","JAU","Região Sudeste"
"18",2026-07-01,139.906002703728,135.552989888069,130.846871869729,35064,"SP","JAU","Região Sudeste"
"19",2026-08-01,140.470565050275,135.861203500623,130.887194405186,35064,"SP","JAU","Região Sudeste"
"20",2026-09-01,141.035127396821,136.167918358133,130.925414494448,35064,"SP","JAU","Região Sudeste"
"21",2026-10-01,141.58147805477,136.455586428031,130.944703715492,35064,"SP","JAU","Região Sudeste"
"22",2026-11-01,142.146040401316,136.759347490879,130.978826515776,35064,"SP","JAU","Região Sudeste"
"23",2026-12-01,142.692391059265,137.044131837193,130.994172893858,35064,"SP","JAU","Região Sudeste"
"24",2027-01-01,143.256953405811,137.344956046698,131.02425703239,35064,"SP","JAU","Região Sudeste"
"25",2027-02-01,143.821515752358,137.64430284013,131.052312707881,35064,"SP","JAU","Região Sudeste"
"26",2027-03-01,144.33144303311,137.889979754295,131.028755084775,35064,"SP","JAU","Região Sudeste"
"27",2027-04-01,144.896005379656,138.186476057168,131.052981810314,35064,"SP","JAU","Região Sudeste"
"28",2027-05-01,145.442356037605,138.464169617623,131.058812442558,35064,"SP","JAU","Região Sudeste"
"29",2027-06-01,146.006918384152,138.757770899878,131.079143588906,35064,"SP","JAU","Região Sudeste"
"30",2027-07-01,146.5532690421,139.032638614943,131.08122876118,35064,"SP","JAU","Região Sudeste"
"31",2027-08-01,147.117831388647,139.323361531393,131.097720734473,35064,"SP","JAU","Região Sudeste"
"32",2027-09-01,147.682393735193,139.612636355617,131.112283957457,35064,"SP","JAU","Região Sudeste"
"33",2027-10-01,148.228744393142,139.883280926207,131.108824222528,35064,"SP","JAU","Região Sudeste"
"34",2027-11-01,148.793306739688,140.169702267757,131.119631940411,35064,"SP","JAU","Região Sudeste"
"35",2027-12-01,149.339657397637,140.437561897721,131.112563800329,35064,"SP","JAU","Região Sudeste"
"36",2028-01-01,149.904219744183,140.721146208914,131.119670873879,35064,"SP","JAU","Região Sudeste"
"37",2028-02-01,150.46878209073,141.003303152213,131.124918441671,35064,"SP","JAU","Região Sudeste"
"38",2028-03-01,150.99692106008,141.249964640412,131.096697152927,35064,"SP","JAU","Região Sudeste"
"39",2028-04-01,151.561483406627,141.529339023294,131.098384145459,35064,"SP","JAU","Região Sudeste"
"40",2028-05-01,152.107834064575,141.790321924705,131.082557733734,35064,"SP","JAU","Região Sudeste"
"41",2028-06-01,152.672396411122,142.066900005168,131.080678374447,35064,"SP","JAU","Região Sudeste"
"42",2028-07-01,153.21874706907,142.325154269685,131.061428586838,35064,"SP","JAU","Região Sudeste"
"43",2028-08-01,153.783309415617,142.598952220804,131.056035640162,35064,"SP","JAU","Região Sudeste"
"44",2028-09-01,154.347871762164,142.871351333428,131.048876696325,35064,"SP","JAU","Região Sudeste"
"45",2028-10-01,154.894222420112,143.125527688915,131.024559727998,35064,"SP","JAU","Região Sudeste"
"46",2028-11-01,155.458784766659,143.395170835669,131.013965459622,35064,"SP","JAU","Região Sudeste"
"47",2028-12-01,156.005135424607,143.64665827142,130.98635326609,35064,"SP","JAU","Região Sudeste"
"48",2029-01-01,156.569697771154,143.913561428282,130.972374981424,35064,"SP","JAU","Região Sudeste"
"49",2029-02-01,157.1342601177,144.179085872241,130.956695474301,35064,"SP","JAU","Região Sudeste"
"50",2029-03-01,157.644187398452,144.393192977762,130.893963381341,35064,"SP","JAU","Região Sudeste"
"51",2029-04-01,158.208749744999,144.656059832999,130.875088225348,35064,"SP","JAU","Região Sudeste"
"52",2029-05-01,158.755100402947,144.900937440698,130.8395401379,35064,"SP","JAU","Região Sudeste"
"53",2029-06-01,159.319662749494,145.161103750969,130.817406123067,35064,"SP","JAU","Região Sudeste"
"54",2029-07-01,159.866013407442,145.403347002584,130.778735348553,35064,"SP","JAU","Região Sudeste"
"55",2029-08-01,160.430575753989,145.660828472435,130.753391811129,35064,"SP","JAU","Região Sudeste"
"56",2029-09-01,160.995138100536,145.91695888211,130.726434291331,35064,"SP","JAU","Região Sudeste"
"57",2029-10-01,161.541488758484,146.15526508657,130.683142307181,35064,"SP","JAU","Região Sudeste"
"58",2029-11-01,162.106051105031,146.40873411937,130.653048439561,35064,"SP","JAU","Região Sudeste"
