"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,66.2007894448451,66.084642297171,65.9550420483786,43022,"RS","REGIAO 22","Região Sul"
"2",2025-03-01,66.3579950863018,66.1253534268334,65.8662475688869,43022,"RS","REGIAO 22","Região Sul"
"3",2025-04-01,66.5320441893432,66.1824732479748,65.7938600418926,43022,"RS","REGIAO 22","Região Sul"
"4",2025-05-01,66.7004788051897,66.2336139061143,65.7155707172866,43022,"RS","REGIAO 22","Região Sul"
"5",2025-06-01,66.8745279082311,66.2899368024784,65.6424670411069,43022,"RS","REGIAO 22","Região Sul"
"6",2025-07-01,67.0429625240777,66.3403025447723,65.563509952491,43022,"RS","REGIAO 22","Região Sul"
"7",2025-08-01,67.217011627119,66.3958334021064,65.4897047164313,43022,"RS","REGIAO 22","Região Sul"
"8",2025-09-01,67.3910607301605,66.4509651993841,65.4155439629441,43022,"RS","REGIAO 22","Região Sul"
"9",2025-10-01,67.559495346007,66.5001727130609,65.3356016765589,43022,"RS","REGIAO 22","Região Sul"
"10",2025-11-01,67.7335444490484,66.5545197711536,65.26076099127,43022,"RS","REGIAO 22","Região Sul"
"11",2025-12-01,67.9019790648949,66.6029643530267,65.1801861813694,43022,"RS","REGIAO 22","Região Sul"
"12",2026-01-01,68.0760281679363,66.6565314966745,65.1046797141829,43022,"RS","REGIAO 22","Região Sul"
"13",2026-02-01,68.2500772709777,66.7097056622963,65.0288356422557,43022,"RS","REGIAO 22","Região Sul"
"14",2026-03-01,68.4072829124345,66.7460536355782,64.9366685968061,43022,"RS","REGIAO 22","Região Sul"
"15",2026-04-01,68.5813320154759,66.7984743179106,64.8602192878971,43022,"RS","REGIAO 22","Região Sul"
"16",2026-05-01,68.7497666313224,66.8450466674244,64.7781525867139,43022,"RS","REGIAO 22","Região Sul"
"17",2026-06-01,68.9238157343638,66.8966993410535,64.7010719004809,43022,"RS","REGIAO 22","Região Sul"
"18",2026-07-01,69.0922503502103,66.9425252102955,64.6184198966061,43022,"RS","REGIAO 22","Região Sul"
"19",2026-08-01,69.2662994532517,66.9934146159747,64.5407213890028,43022,"RS","REGIAO 22","Região Sul"
"20",2026-09-01,69.4403485562931,67.0439193944158,64.4627092922139,43022,"RS","REGIAO 22","Região Sul"
"21",2026-10-01,69.6087831721396,67.0886295213106,64.379194324739,43022,"RS","REGIAO 22","Região Sul"
"22",2026-11-01,69.7828322751811,67.138378115039,64.3005845013027,43022,"RS","REGIAO 22","Região Sul"
"23",2026-12-01,69.9512668910276,67.1823533884936,64.2165169512222,43022,"RS","REGIAO 22","Região Sul"
"24",2027-01-01,70.125315994069,67.2313504789047,64.1373225441757,43022,"RS","REGIAO 22","Região Sul"
"25",2027-02-01,70.2993650971104,67.279968843861,64.0578311922078,43022,"RS","REGIAO 22","Região Sul"
"26",2027-03-01,70.4565707385671,67.3121179178497,63.9627551516894,43022,"RS","REGIAO 22","Região Sul"
"27",2027-04-01,70.6306198416085,67.3600105956802,63.8827365399069,43022,"RS","REGIAO 22","Região Sul"
"28",2027-05-01,70.7990544574551,67.4021829145131,63.7973713575633,43022,"RS","REGIAO 22","Região Sul"
"29",2027-06-01,70.9731035604965,67.4493356403149,63.7168001044973,43022,"RS","REGIAO 22","Região Sul"
"30",2027-07-01,71.141538176343,67.4907890655195,63.6309261544797,43022,"RS","REGIAO 22","Região Sul"
"31",2027-08-01,71.3155872793844,67.5372064389745,63.5498148451445,43022,"RS","REGIAO 22","Região Sul"
"32",2027-09-01,71.4896363824258,67.5832531896214,63.4684288920374,43022,"RS","REGIAO 22","Região Sul"
"33",2027-10-01,71.6580709982723,67.6236320905193,63.3818054190617,43022,"RS","REGIAO 22","Região Sul"
"34",2027-11-01,71.8321201013137,67.6689503613084,63.2998980637035,43022,"RS","REGIAO 22","Região Sul"
"35",2027-12-01,72.0005547171602,67.7086216478854,63.2127961756135,43022,"RS","REGIAO 22","Região Sul"
"36",2028-01-01,72.1746038202016,67.7532159807471,63.130379615112,43022,"RS","REGIAO 22","Região Sul"
"37",2028-02-01,72.348652923243,67.7974454172096,63.0477038632817,43022,"RS","REGIAO 22","Região Sul"
"38",2028-03-01,72.5114730518947,67.8308069641302,62.9550228975496,43022,"RS","REGIAO 22","Região Sul"
