"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,162.406688402411,162.12175111119,161.803810080592,31013,"MG","BARBACENA","Região Sudeste"
"2",2025-03-01,163.013553810662,162.442051557994,161.80553795233,31013,"MG","BARBACENA","Região Sudeste"
"3",2025-04-01,163.685440512654,162.825408715563,161.869323199153,31013,"MG","BARBACENA","Região Sudeste"
"4",2025-05-01,164.335653450066,163.185398614767,161.909051465895,31013,"MG","BARBACENA","Região Sudeste"
"5",2025-06-01,165.007540152058,163.565108431458,161.967528665461,31013,"MG","BARBACENA","Região Sudeste"
"6",2025-07-01,165.65775308947,163.921536953201,162.002145109386,31013,"MG","BARBACENA","Região Sudeste"
"7",2025-08-01,166.329639791462,164.29762029127,162.055389429697,31013,"MG","BARBACENA","Região Sudeste"
"8",2025-09-01,167.001526493454,164.671879400972,162.106006046617,31013,"MG","BARBACENA","Região Sudeste"
"9",2025-10-01,167.651739430866,165.022985602521,162.133053418148,31013,"MG","BARBACENA","Região Sudeste"
"10",2025-11-01,168.323626132858,165.393649402751,162.178548658466,31013,"MG","BARBACENA","Região Sudeste"
"11",2025-12-01,168.97383907027,165.741245471439,162.20066693277,31013,"MG","BARBACENA","Região Sudeste"
"12",2026-01-01,169.645725772262,166.10833457145,162.241113920998,31013,"MG","BARBACENA","Região Sudeste"
"13",2026-02-01,170.317612474254,166.473625401945,162.279025481476,31013,"MG","BARBACENA","Região Sudeste"
"14",2026-03-01,170.924477882505,166.773680851826,162.252697414486,31013,"MG","BARBACENA","Região Sudeste"
"15",2026-04-01,171.596364584497,167.135501978261,162.285821941238,31013,"MG","BARBACENA","Região Sudeste"
"16",2026-05-01,172.246577521909,167.474466851651,162.29604299733,31013,"MG","BARBACENA","Região Sudeste"
"17",2026-06-01,172.918464223901,167.832764167984,162.32429774043,31013,"MG","BARBACENA","Região Sudeste"
"18",2026-07-01,173.568677161313,168.168289318912,162.329835905744,31013,"MG","BARBACENA","Região Sudeste"
"19",2026-08-01,174.240563863305,168.523083085935,162.353291221427,31013,"MG","BARBACENA","Região Sudeste"
"20",2026-09-01,174.912450565297,168.876114256151,162.374335480746,31013,"MG","BARBACENA","Região Sudeste"
"21",2026-10-01,175.562663502709,169.206498846282,162.372940809191,31013,"MG","BARBACENA","Região Sudeste"
"22",2026-11-01,176.234550204701,169.55605673783,162.389290001873,31013,"MG","BARBACENA","Região Sudeste"
"23",2026-12-01,176.884763142113,169.883051367261,162.383383397812,31013,"MG","BARBACENA","Região Sudeste"
"24",2027-01-01,177.556649844105,170.22915599466,162.395105954001,31013,"MG","BARBACENA","Região Sudeste"
"25",2027-02-01,178.228536546097,170.573523236574,162.404503823512,31013,"MG","BARBACENA","Região Sudeste"
"26",2027-03-01,178.835401954348,170.854038708526,162.352565669201,31013,"MG","BARBACENA","Região Sudeste"
"27",2027-04-01,179.50728865634,171.195055246701,162.357584485908,31013,"MG","BARBACENA","Região Sudeste"
"28",2027-05-01,180.157501593752,171.513715386422,162.340798476824,31013,"MG","BARBACENA","Região Sudeste"
"29",2027-06-01,180.829388295744,171.851328079462,162.341357627645,31013,"MG","BARBACENA","Região Sudeste"
"30",2027-07-01,181.479601233156,172.166666626762,162.320289954756,31013,"MG","BARBACENA","Região Sudeste"
"31",2027-08-01,182.151487935148,172.50089515001,162.316455261001,31013,"MG","BARBACENA","Região Sudeste"
"32",2027-09-01,182.82337463714,172.833420930929,162.310412251756,31013,"MG","BARBACENA","Região Sudeste"
"33",2027-10-01,183.473587574552,173.143795410964,162.283006857215,31013,"MG","BARBACENA","Região Sudeste"
"34",2027-11-01,184.145474276544,173.472966418141,162.272667633325,31013,"MG","BARBACENA","Região Sudeste"
"35",2027-12-01,184.795687213956,173.780067624238,162.241140445049,31013,"MG","BARBACENA","Região Sudeste"
"36",2028-01-01,185.467573915948,174.105903293302,162.226569012775,31013,"MG","BARBACENA","Região Sudeste"
"37",2028-02-01,186.13946061794,174.43006070372,162.209870068509,31013,"MG","BARBACENA","Região Sudeste"
"38",2028-03-01,186.767999790772,174.711995325456,162.153424947562,31013,"MG","BARBACENA","Região Sudeste"
"39",2028-04-01,187.439886492764,175.032882007027,162.132658583725,31013,"MG","BARBACENA","Região Sudeste"
"40",2028-05-01,188.090099430176,175.33190129926,162.091134025566,31013,"MG","BARBACENA","Região Sudeste"
"41",2028-06-01,188.761986132168,175.649500754559,162.066292107471,31013,"MG","BARBACENA","Região Sudeste"
"42",2028-07-01,189.412199069579,175.945313278051,162.02086152449,31013,"MG","BARBACENA","Região Sudeste"
"43",2028-08-01,190.084085771571,176.25964461214,161.992005596524,31013,"MG","BARBACENA","Região Sudeste"
"44",2028-09-01,190.755972473564,176.572331390585,161.961131244465,31013,"MG","BARBACENA","Região Sudeste"
"45",2028-10-01,191.406185410975,176.863351400969,161.909920078673,31013,"MG","BARBACENA","Região Sudeste"
"46",2028-11-01,192.078072112968,177.172798602322,161.875122998878,31013,"MG","BARBACENA","Região Sudeste"
"47",2028-12-01,192.728285050379,177.460658756634,161.820155222882,31013,"MG","BARBACENA","Região Sudeste"
"48",2029-01-01,193.400171752371,177.76688525264,161.78149524978,31013,"MG","BARBACENA","Região Sudeste"
"49",2029-02-01,194.072058454364,178.071490967884,161.740892406544,31013,"MG","BARBACENA","Região Sudeste"
"50",2029-03-01,194.678923862615,178.314924805616,161.6443736475,31013,"MG","BARBACENA","Região Sudeste"
"51",2029-04-01,195.350810564607,178.616407670284,161.600130262987,31013,"MG","BARBACENA","Região Sudeste"
"52",2029-05-01,196.001023502018,178.896501420697,161.53612524241,31013,"MG","BARBACENA","Região Sudeste"
"53",2029-06-01,196.672910204011,179.19481017242,161.488164885318,31013,"MG","BARBACENA","Região Sudeste"
"54",2029-07-01,197.323123141422,179.471808511553,161.420604351298,31013,"MG","BARBACENA","Região Sudeste"
"55",2029-08-01,197.995009843415,179.766961700769,161.36898454072,31013,"MG","BARBACENA","Região Sudeste"
"56",2029-09-01,198.666896545407,180.060526774106,161.315523583624,31013,"MG","BARBACENA","Região Sudeste"
"57",2029-10-01,199.317109482818,180.332898976209,161.242702311242,31013,"MG","BARBACENA","Região Sudeste"
"58",2029-11-01,199.988996184811,180.623336202612,161.185667208585,31013,"MG","BARBACENA","Região Sudeste"
"59",2029-12-01,200.639209122222,180.892658538974,161.109429999152,31013,"MG","BARBACENA","Região Sudeste"
"60",2030-01-01,201.311095824214,181.179986241793,161.048876659371,31013,"MG","BARBACENA","Região Sudeste"
"61",2030-02-01,201.982982526207,181.46574891426,160.986552786315,31013,"MG","BARBACENA","Região Sudeste"
"62",2030-03-01,202.589847934458,181.691637158999,160.870840797885,31013,"MG","BARBACENA","Região Sudeste"
"63",2030-04-01,203.26173463645,181.974385890906,160.805209381316,31013,"MG","BARBACENA","Região Sudeste"
"64",2030-05-01,203.911947573861,182.236213345744,160.720765438908,31013,"MG","BARBACENA","Região Sudeste"
"65",2030-06-01,204.583834275854,182.515897790094,160.651752093407,31013,"MG","BARBACENA","Região Sudeste"
"66",2030-07-01,205.234047213265,182.774737941416,160.564079992431,31013,"MG","BARBACENA","Região Sudeste"
"67",2030-08-01,205.905933915257,183.051376108844,160.491738445935,31013,"MG","BARBACENA","Região Sudeste"
"68",2030-09-01,206.57782061725,183.326480961474,160.417721400358,31013,"MG","BARBACENA","Região Sudeste"
"69",2030-10-01,207.228033554661,183.580856497157,160.32527403826,31013,"MG","BARBACENA","Região Sudeste"
"70",2030-11-01,207.899920256654,183.852941982034,160.248008473021,31013,"MG","BARBACENA","Região Sudeste"
"71",2030-12-01,208.550133194065,184.104374429227,160.152463264697,31013,"MG","BARBACENA","Região Sudeste"
"72",2031-01-01,209.222019896057,184.373458335972,160.072001390972,31013,"MG","BARBACENA","Região Sudeste"
"73",2031-02-01,209.89390659805,184.641031342503,159.989929978053,31013,"MG","BARBACENA","Região Sudeste"
"74",2031-03-01,210.500772006301,184.849999860151,159.856884111505,31013,"MG","BARBACENA","Região Sudeste"
"75",2031-04-01,211.172658708293,185.11466465202,159.771816019407,31013,"MG","BARBACENA","Região Sudeste"
"76",2031-05-01,211.822871645704,185.358865793452,159.668839307097,31013,"MG","BARBACENA","Região Sudeste"
"77",2031-06-01,212.494758347697,185.620572923148,159.5807021633,31013,"MG","BARBACENA","Região Sudeste"
"78",2031-07-01,213.144971285108,185.861891706236,159.474802844475,31013,"MG","BARBACENA","Região Sudeste"
"79",2031-08-01,213.8168579871,186.120658659037,159.383646807129,31013,"MG","BARBACENA","Região Sudeste"
"80",2031-09-01,214.488744689093,186.377945503235,159.290969965522,31013,"MG","BARBACENA","Região Sudeste"
"81",2031-10-01,215.138957626504,186.614956467506,159.180748505336,31013,"MG","BARBACENA","Região Sudeste"
"82",2031-11-01,215.810844328496,186.869329259154,159.085127153572,31013,"MG","BARBACENA","Região Sudeste"
"83",2031-12-01,216.461057265908,187.103500785279,158.972104677963,31013,"MG","BARBACENA","Região Sudeste"
