"","uf_sigla","necessidade","oferta","perc","absoluto","perc_medio","cenario","categoria"
"106","SE",146.601435349899,139.880880448068,95.4157645961711,-6.72055490183138,95.42,"Cenário 4","Enfermeiros"
"107","SP",1742.35290326321,2188.38692289353,125.59952227789,446.034019630322,125.6,"Cenário 4","Enfermeiros"
"108","TO",127.259245763233,203.839288719214,160.17640800611,76.5800429559809,160.18,"Cenário 4","Enfermeiros"
"109","AC",228.747662229624,46.519535215412,20.3366166727047,-182.228127014212,20.34,"Cenário 1","Médicos"
"110","AL",750.177653512473,176.604787787722,23.5417286773107,-573.572865724751,23.54,"Cenário 1","Médicos"
"111","AM",1049.15854179795,270.446202223742,25.7774389140728,-778.712339574204,25.78,"Cenário 1","Médicos"
"112","AP",180.771040066448,54.7206084378489,30.2706719050433,-126.050431628599,30.27,"Cenário 1","Médicos"
"113","BA",2549.66564649276,862.662467585177,33.8343370148093,-1687.00317890758,33.83,"Cenário 1","Médicos"
"114","CE",1640.16938157373,577.795715530732,35.2278076899803,-1062.37366604299,35.23,"Cenário 1","Médicos"
"115","DF",431.858611775479,220.38135914919,51.0309052870677,-211.477252626289,51.03,"Cenário 1","Médicos"
"116","ES",865.289931494217,187.975861082204,21.7240319389363,-677.314070412013,21.72,"Cenário 1","Médicos"
"117","GO",1479.89028529924,366.999937225761,24.7991314539613,-1112.89034807348,24.8,"Cenário 1","Médicos"
"118","MA",1434.04622863735,488.784476626085,34.0842900922752,-945.261752011262,34.08,"Cenário 1","Médicos"
"119","MG",3580.14269154244,1234.614395074,34.4850611119663,-2345.52829646844,34.49,"Cenário 1","Médicos"
"120","MS",643.021194816475,184.228465550376,28.6504499440266,-458.792729266099,28.65,"Cenário 1","Médicos"
"121","MT",860.119815637314,275.243409101448,32.0005892315716,-584.876406535866,32,"Cenário 1","Médicos"
"122","PA",1933.78451460849,495.809284063297,25.6393243568649,-1437.9752305452,25.64,"Cenário 1","Médicos"
"123","PB",764.884755622962,261.856654936719,34.2347854381605,-503.028100686243,34.23,"Cenário 1","Médicos"
"124","PE",1784.67823669792,561.85188026824,31.4819707393194,-1222.82635642968,31.48,"Cenário 1","Médicos"
"125","PI",575.108117172716,245.725809545078,42.7268894678602,-329.382307627638,42.73,"Cenário 1","Médicos"
"126","PR",1958.82850643752,1069.3290273781,54.5902320628805,-889.499479059422,54.59,"Cenário 1","Médicos"
"127","RJ",2804.77206237299,838.025583385065,29.8785628474939,-1966.74647898792,29.88,"Cenário 1","Médicos"
"128","RN",613.754263036477,193.480689469279,31.5241296267428,-420.273573567198,31.52,"Cenário 1","Médicos"
"129","RO",316.474009264269,150.321572389239,47.4988681499321,-166.15243687503,47.5,"Cenário 1","Médicos"
"130","RR",165.59459105029,68.0725420453088,41.1079502135644,-97.5220490049812,41.11,"Cenário 1","Médicos"
"131","RS",1657.62501516653,958.118924869075,57.800703784192,-699.506090297456,57.8,"Cenário 1","Médicos"
"132","SC",1418.58225928524,643.373599287457,45.3532810717389,-775.208659997779,45.35,"Cenário 1","Médicos"
"133","SE",443.646467052193,128.311531454398,28.9220225976245,-315.334935597795,28.92,"Cenário 1","Médicos"
"134","SP",8023.47250962707,2640.2633429984,32.9067413121993,-5383.20916662867,32.91,"Cenário 1","Médicos"
"135","TO",291.167940791399,150.286366020928,51.6150114646714,-140.881574770471,51.62,"Cenário 1","Médicos"
"136","AC",208.788770567077,43.4568440702479,20.8137841667527,-165.331926496829,20.81,"Cenário 2","Médicos"
"137","AL",621.67794348332,164.977717197992,26.5374892140464,-456.700226285328,26.54,"Cenário 2","Médicos"
"138","AM",816.169151471155,252.640925688659,30.9544810941789,-563.528225782496,30.95,"Cenário 2","Médicos"
"139","AP",155.130069224088,51.1179859665678,32.9516941636422,-104.01208325752,32.95,"Cenário 2","Médicos"
"140","BA",2136.72910885203,805.867646043984,37.7150122917051,-1330.86146280805,37.72,"Cenário 2","Médicos"
"141","CE",1347.11350210207,539.755571460602,40.0675645087333,-807.357930641464,40.07,"Cenário 2","Médicos"
"142","DF",269.890609190526,205.872185011916,76.2798622854577,-64.01842417861,76.28,"Cenário 2","Médicos"
"143","ES",503.473913150054,175.600156927483,34.8777071345794,-327.873756222571,34.88,"Cenário 2","Médicos"
"144","GO",1081.46473142302,342.837884599648,31.7012542931966,-738.626846823372,31.7,"Cenário 2","Médicos"
"145","MA",1270.64417951168,456.604535843692,35.9348858796308,-814.039643667984,35.93,"Cenário 2","Médicos"
"146","MG",2310.06157188459,1153.33149837317,49.926439728282,-1156.73007351143,49.93,"Cenário 2","Médicos"
"147","MS",435.430681555789,172.099477427095,39.5239666649546,-263.331204128694,39.52,"Cenário 2","Médicos"
"148","MT",610.941300477243,257.12230045502,42.0862528452679,-353.819000022223,42.09,"Cenário 2","Médicos"
"149","PA",1652.29488004209,463.166853373496,28.0317308349765,-1189.12802666859,28.03,"Cenário 2","Médicos"
"150","PB",624.757562968154,244.61688556535,39.1538894548475,-380.140677402804,39.15,"Cenário 2","Médicos"
"151","PE",1409.24666163715,524.861425169685,37.2441134300749,-884.385236467466,37.24,"Cenário 2","Médicos"
"152","PI",469.686086784866,229.548041268867,48.8726508464808,-240.138045516,48.87,"Cenário 2","Médicos"
"153","PR",1252.64180933328,998.9279683767,79.7456991243476,-253.713840956578,79.75,"Cenário 2","Médicos"
"154","RJ",1609.11459185199,782.852772182855,48.6511511452917,-826.261819669134,48.65,"Cenário 2","Médicos"
"155","RN",457.872412926841,180.742565761596,39.4744388739742,-277.129847165245,39.47,"Cenário 2","Médicos"
"156","RO",268.08632174217,140.424901097236,52.380479609955,-127.661420644934,52.38,"Cenário 2","Médicos"
"157","RR",147.524138137972,63.5908727684002,43.105401984404,-83.9332653695717,43.11,"Cenário 2","Médicos"
"158","RS",1148.11552251128,895.039568344495,77.9572744027336,-253.075954166782,77.96,"Cenário 2","Médicos"
"159","SC",945.137931109113,601.016025927239,63.5902978967261,-344.121905181874,63.59,"Cenário 2","Médicos"
"160","SE",348.768643067899,119.863927896277,34.3677478691632,-228.904715171622,34.37,"Cenário 2","Médicos"
"161","SP",3809.91404367642,2466.43720470922,64.7373451588216,-1343.4768389672,64.74,"Cenário 2","Médicos"
"162","TO",260.176613371073,140.39201259887,53.9602736694238,-119.784600772203,53.96,"Cenário 2","Médicos"
"163","AC",184.109589878084,45.1667253127682,24.532521821746,-138.942864565316,24.53,"Cenário 3","Médicos"
"164","AL",549.93904900442,171.469037727726,31.1796440056664,-378.470011276694,31.18,"Cenário 3","Médicos"
"165","AM",703.117444097956,262.581499818471,37.3453257379132,-440.535944279485,37.35,"Cenário 3","Médicos"
"166","AP",132.051284293675,53.1293074794314,40.2338438157669,-78.9219768142434,40.23,"Cenário 3","Médicos"
"167","BA",1852.92721270223,837.575838422085,45.2028462143744,-1015.35137428015,45.2,"Cenário 3","Médicos"
"168","CE",1128.17320468019,560.99314512551,49.7257994426963,-567.180059554678,49.73,"Cenário 3","Médicos"
"169","DF",174.467013970334,213.972565861927,122.643565102977,39.505551891593,122.64,"Cenário 3","Médicos"
"170","ES",441.741020238023,182.509434877546,41.3159354725999,-259.231585360477,41.32,"Cenário 3","Médicos"
"171","GO",952.337621192726,356.327406921026,37.4160800740765,-596.0102142717,37.42,"Cenário 3","Médicos"
"172","MA",1102.90461907175,474.570394796237,43.0291420119043,-628.334224275516,43.03,"Cenário 3","Médicos"
"173","MG",1942.40499605955,1198.71122940675,61.7127340507517,-743.693766652808,61.71,"Cenário 3","Médicos"
"174","MS",380.884621022749,178.871015365387,46.9619946547285,-202.013605657363,46.96,"Cenário 3","Médicos"
